"population","n","simulated_mean","simulated_sd","theoretical_mean","theoretical_sd","mean_error","sd_ratio","skewness","excess_kurtosis","qq_correlation","qq_rmse","normal_enough","stable_pass"
"Dependent machine-failure process",10,0.995220975311893,0.708940248800961,1,NA,-0.00477902468810742,NA,1.43808995256811,2.88370958738613,0.944880332739499,0.332003843353877,FALSE,FALSE
"Dependent machine-failure process",15,0.994540296375431,0.626906444906073,1,NA,-0.00545970362456916,NA,1.31841763337283,2.49099834813014,0.954130451025546,0.302867067572331,FALSE,FALSE
"Dependent machine-failure process",20,0.992143561346531,0.560953018587036,1,NA,-0.0078564386534693,NA,1.17084285527911,2.22019297511674,0.964490396728414,0.266478839279645,FALSE,FALSE
"Dependent machine-failure process",30,0.998545685577994,0.48029742554956,1,NA,-0.00145431442200616,NA,0.98462974611912,1.40429140827604,0.973642764641777,0.229583009994354,FALSE,FALSE
"Dependent machine-failure process",40,0.99956415207169,0.427121701826303,1,NA,-0.00043584792830953,NA,0.91685770147593,1.35582603362665,0.977794963627344,0.210724757542319,FALSE,FALSE
"Dependent machine-failure process",50,1.00062293252582,0.382712448009792,1,NA,0.000622932525820907,NA,0.828290552533641,1.16167582556888,0.981967638052706,0.189896135488155,FALSE,FALSE
"Dependent machine-failure process",75,1.00058193472495,0.320221882712096,1,NA,0.000581934724947386,NA,0.698563637441568,0.897392147540669,0.987119102239928,0.160495509508253,FALSE,FALSE
"Dependent machine-failure process",100,1.00080058585719,0.279517747653152,1,NA,0.000800585857189118,NA,0.572948854508539,0.538065842130149,0.990998392959711,0.134168277834514,FALSE,FALSE
"Dependent machine-failure process",150,0.999730996308898,0.231107424853195,1,NA,-0.000269003691102054,NA,0.514347136709325,0.439606795371532,0.992749816318158,0.120410490539133,FALSE,FALSE
"Dependent machine-failure process",200,0.999543607195122,0.19892728683281,1,NA,-0.000456392804878081,NA,0.38394250836422,0.156260242304949,0.995744761576818,0.0922468984345193,FALSE,FALSE
"Dependent machine-failure process",300,0.9997747594966,0.165394784096216,1,NA,-0.000225240503400559,NA,0.375954272631914,0.238268209180498,0.996051521221011,0.0888596765854662,FALSE,FALSE
"Dependent machine-failure process",500,1.00108541249786,0.127033594310107,1,NA,0.00108541249786209,NA,0.282329923835067,0.124592404879941,0.997719382823641,0.0675329971979178,FALSE,FALSE
"Non-identical Bernoulli process",2,0.70425,0.293539697580069,0.7,0.291547594742265,0.00424999999999964,1.00683285636283,-0.405353704335853,-0.704750141557137,0.856051301913456,0.536529601568037,FALSE,FALSE
"Non-identical Bernoulli process",5,0.6986,0.198136230398618,0.7,0.194935886896179,-0.00139999999999996,1.0164174157637,-0.325915648609044,-0.273412065764638,0.948544963325684,0.320777400532018,FALSE,FALSE
